Services
========

 Name                            Credentials                  Command   Startup
 SharedAccess                    LocalSystem                  Disabled  C:\Windows\System32\svchost.exe -k netsvcs
 ShellHWDetection                LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k netsvcs
 Spooler                         LocalSystem                  Auto      C:\Windows\System32\spoolsv.exe
 SstpSvc                         NT Authority\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 StorSvc                         LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 SysMain                         LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 TBS                             NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation
 THREADORDER                     NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 TabletInputService              LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 TapiSrv                         NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\svchost.exe -k NetworkService
 TermService                     NT Authority\NetworkService  Manual    C:\Windows\System32\svchost.exe -k NetworkService
 Themes                          LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k netsvcs
 TrkWks                          LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 TrustedInstaller                localSystem                  Manual    C:\Windows\servicing\TrustedInstaller.exe
 UI0Detect                       LocalSystem                  Manual    C:\Windows\system32\UI0Detect.exe
 UmRdpService                    localSystem                  Manual    C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 UxSms                           localSystem                  Auto      C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 VBoxService                     LocalSystem                  Auto      C:\Windows\System32\VBoxService.exe
 VGAuthService                   LocalSystem                  Auto      "C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
 VMTools                         LocalSystem                  Auto      "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
 VSS                             LocalSystem                  Manual    C:\Windows\system32\vssvc.exe
 VaultSvc                        LocalSystem                  Manual    C:\Windows\system32\lsass.exe
 W32Time                         NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 WMPNetworkSvc                   NT AUTHORITY\NetworkService  Auto      "C:\Program Files\Windows Media Player\wmpnetwk.exe"
 WPCSvc                          NT Authority\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted
 WPDBusEnum                      LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 WSearch                         LocalSystem                  Auto      C:\Windows\system32\SearchIndexer.exe /Embedding
 WbioSrvc                        LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k WbioSvcGroup
 WcsPlugInService                NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k wcssvc
 WdiServiceHost                  NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalService
 WdiSystemHost                   LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted
 WebClient                       NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 Wecsvc                          NT AUTHORITY\NetworkService  Manual    C:\Windows\system32\svchost.exe -k NetworkService
 WerSvc                          localSystem                  Manual    C:\Windows\System32\svchost.exe -k WerSvcGroup
 WinDefend                       LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k secsvcs
 WinHttpAutoProxySvc             NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 WinRM                           NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\svchost.exe -k NetworkService
 Winmgmt                         localSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 Wlansvc                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 WwanSvc                         NT Authority\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork
 bthserv                         NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k bthsvcs
 clr_optimization_v2.0.50727_32  LocalSystem                  Manual    C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe
 clr_optimization_v2.0.50727_64  LocalSystem                  Manual    C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe
 defragsvc                       localSystem                  Manual    C:\Windows\system32\svchost.exe -k defragsvc
 dot3svc                         localSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 ehRecvr                         NT AUTHORITY\networkService  Manual    C:\Windows\ehome\ehRecvr.exe
 ehSched                         NT AUTHORITY\networkService  Manual    C:\Windows\ehome\ehsched.exe
 eventlog                        NT AUTHORITY\LocalService    Auto      C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
 fdPHost                         NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 gpsvc                           LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 hidserv                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
 hkmsvc                          localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 idsvc                           LocalSystem                  Manual    "C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\infoc
                                                                        ard.exe"
 iphlpsvc                        LocalSystem                  Auto      C:\Windows\System32\svchost.exe -k NetSvcs
 lltdsvc                         NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalService
 lmhosts                         NT AUTHORITY\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted
 msiserver                       LocalSystem                  Manual    C:\Windows\system32\msiexec.exe /V
 napagent                        NT AUTHORITY\NetworkService  Manual    C:\Windows\System32\svchost.exe -k NetworkService
 netprofm                        NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalService
 nsi                             NT Authority\LocalService    Auto      C:\Windows\system32\svchost.exe -k LocalService
 p2pimsvc                        NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServicePeerNet
 p2psvc                          NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServicePeerNet
 pla                             NT AUTHORITY\LocalService    Manual    %SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork
 rUzJ                            LocalSystem                  Manual    C:\Windows\ZpCxEnIk.exe
 seclogon                        LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k netsvcs
 sppsvc                          NT AUTHORITY\NetworkService  Auto      C:\Windows\system32\sppsvc.exe
 sppuinotify                     NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalService
 stisvc                          NT Authority\LocalService    Manual    C:\Windows\system32\svchost.exe -k imgsvc
 swprv                           LocalSystem                  Manual    C:\Windows\System32\svchost.exe -k swprv
 upnphost                        NT AUTHORITY\LocalService    Manual    C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation
 vds                             LocalSystem                  Manual    C:\Windows\System32\vds.exe
 vmvss                           LocalSystem                  Manual    C:\Windows\system32\dllhost.exe /Processid:{5085BF0B-B04F-4709-BE25-CA9809C7F903}
 wbengine                        localSystem                  Manual    "C:\Windows\system32\wbengine.exe"
 wcncsvc                         NT AUTHORITY\LocalService    Manual    C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation
 wercplsupport                   localSystem                  Manual    C:\Windows\System32\svchost.exe -k netsvcs
 wmiApSrv                        localSystem                  Manual    C:\Windows\system32\wbem\WmiApSrv.exe
 wscsvc                          NT AUTHORITY\LocalService    Auto      C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted
 wtuE                            LocalSystem                  Manual    C:\Windows\ZyDdlSma.exe
 wuauserv                        LocalSystem                  Auto      C:\Windows\system32\svchost.exe -k netsvcs
 wudfsvc                         LocalSystem                  Manual    C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted
